epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0163,2.15037,6.91539,1.5637,0.61907,0.51346,0.30098,0.20212,1.38059,30.6268,1.13914,0.00024442,0.00024442,0.00024442
2,39.4605,1.32158,2.51853,1.05305,0.97055,0.32745,0.55328,0.37394,1.43156,3.30039,1.10592,0.000495,0.000495,0.000495
3,43.8588,1.36872,1.67063,1.05687,0.71671,0.89667,0.83887,0.63035,1.15231,2.17669,0.9906,0.000740521,0.000740521,0.000740521
4,48.2,1.30266,1.35722,1.03266,0.78819,0.58511,0.72745,0.4148,1.21508,1.81712,1.05877,0.000980983,0.000980983,0.000980983
5,55.307,1.22451,1.11809,1.01789,0.69685,0.70645,0.8293,0.55462,1.16376,1.87062,1.04371,0.001067,0.001067,0.001067
6,59.6277,1.24886,0.99762,1.02354,0.94116,0.91627,0.96382,0.69139,1.213,1.35499,1.07057,0.00105601,0.00105601,0.00105601
7,64.2249,1.23835,0.94886,1.01932,0.67013,0.77393,0.61938,0.4462,1.18073,3.15041,1.02216,0.00104501,0.00104501,0.00104501
8,70.0555,1.26896,1.04579,1.02513,0.58096,0.8941,0.66095,0.47969,1.19682,1.86262,1.00891,0.00103401,0.00103401,0.00103401
9,74.2876,1.18705,0.805,0.99397,0.5523,0.85385,0.61003,0.44563,1.18111,1.88014,1.02853,0.00102301,0.00102301,0.00102301
10,78.4213,1.17628,0.76969,0.99578,0.95889,0.95673,0.9828,0.74255,1.15009,0.83218,1.02817,0.00101201,0.00101201,0.00101201
11,84.6904,1.237,0.813,1.0067,0.91363,0.927,0.98106,0.69815,1.10826,0.8945,0.99669,0.00100101,0.00100101,0.00100101
12,88.8979,1.23601,0.76571,1.01446,0.82012,0.96923,0.93723,0.72787,1.09149,0.71848,0.96231,0.000990012,0.000990012,0.000990012
13,93.0584,1.11061,0.72171,0.95557,0.95985,0.96923,0.98142,0.79203,1.06561,0.69533,0.94818,0.000979013,0.000979013,0.000979013
14,99.1694,1.18781,0.69755,0.96545,0.94485,0.95673,0.99215,0.74594,1.17688,0.68718,1.00321,0.000968014,0.000968014,0.000968014
15,103.386,1.17248,0.67582,0.97095,0.89052,0.95385,0.96937,0.73358,1.11987,0.79773,0.98814,0.000957015,0.000957015,0.000957015
