epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1115,1.95489,7.59424,1.42887,0.46937,0.63623,0.42691,0.29155,1.43196,9.89713,1.14819,0.00017776,0.00017776,0.00017776
2,40.1047,1.27484,2.62057,1.01138,0.90277,0.68076,0.83826,0.59793,1.29404,4.09722,1.06409,0.000363,0.000363,0.000363
3,43.828,1.23868,1.72492,0.97891,0.68425,0.84532,0.86973,0.60321,1.32575,2.28953,1.05454,0.000544501,0.000544501,0.000544501
4,49.1815,1.28978,1.36177,1.00123,0.8411,0.82677,0.87132,0.68799,1.11437,1.58944,0.97307,0.000722262,0.000722262,0.000722262
5,54.1799,1.19224,1.32362,1.0184,0.74235,0.91131,0.92996,0.65996,1.19534,1.49815,1.05706,0.000896284,0.000896284,0.000896284
6,57.6244,1.26479,1.43672,0.99773,0.74343,0.66233,0.58785,0.38797,1.30412,1.91661,1.08974,0.00105601,0.00105601,0.00105601
7,61.063,1.15089,1.26462,0.92984,0.57825,0.85676,0.95231,0.7395,1.17706,5.07301,1.02309,0.00104501,0.00104501,0.00104501
8,67.1139,1.18273,1.06852,0.97282,0.75354,0.93836,0.97746,0.77514,1.26469,1.78147,1.03431,0.00103401,0.00103401,0.00103401
9,70.9491,1.07558,0.90215,0.95228,0.74123,0.78224,0.78538,0.582,1.30686,1.67775,1.04121,0.00102301,0.00102301,0.00102301
10,74.3462,1.04958,0.75837,0.92199,0.8569,0.91856,0.96491,0.74986,1.24416,0.97977,1.03495,0.00101201,0.00101201,0.00101201
11,77.9156,1.0957,0.80052,0.93388,0.93497,0.92483,0.97906,0.66654,1.29167,1.1095,1.07923,0.00100101,0.00100101,0.00100101
12,84.1728,1.13389,0.79192,0.9921,0.87302,0.92665,0.9732,0.72247,1.19655,1.25571,1.00816,0.000990012,0.000990012,0.000990012
13,87.6552,1.12076,0.77483,0.93758,0.91604,0.92878,0.97108,0.73472,1.17119,1.02593,0.97644,0.000979013,0.000979013,0.000979013
14,91.0631,1.08921,0.71166,0.95442,0.92631,0.94724,0.97342,0.7591,1.21434,0.91987,0.98016,0.000968014,0.000968014,0.000968014
15,95.0367,1.02044,0.69998,0.92152,0.9111,0.96985,0.98514,0.75264,1.14899,0.76311,0.98098,0.000957015,0.000957015,0.000957015
16,100.027,1.09441,0.67619,0.92977,0.94778,0.94166,0.98328,0.75017,1.14471,0.7346,0.98992,0.000946016,0.000946016,0.000946016
17,103.447,1.03377,0.66181,0.92401,0.8924,0.94189,0.97966,0.75154,1.0799,0.71696,0.95701,0.000935018,0.000935018,0.000935018
18,106.887,1.07157,0.65573,0.93485,0.92723,0.89415,0.97746,0.7596,1.10985,0.67711,0.9669,0.000924019,0.000924019,0.000924019
19,111.013,1.04155,0.67107,0.93235,0.95877,0.95461,0.99171,0.77425,1.02047,0.67142,0.93639,0.00091302,0.00091302,0.00091302
20,115.881,1.04143,0.63381,0.9181,0.94141,0.98382,0.995,0.76498,1.15859,0.60777,0.97764,0.000902021,0.000902021,0.000902021
21,119.329,1.04871,0.60832,0.92843,0.96572,0.98328,0.99238,0.78938,1.09088,0.73515,0.95363,0.000891022,0.000891022,0.000891022
22,122.913,1.04545,0.64149,0.94214,0.94591,0.98302,0.99058,0.75487,1.09228,0.65214,0.9573,0.000880023,0.000880023,0.000880023
23,127.43,1.02065,0.60922,0.92314,0.96767,0.97112,0.994,0.7645,1.13749,0.67032,0.96578,0.000869024,0.000869024,0.000869024
24,131.774,1.0244,0.6131,0.93849,0.96097,0.97126,0.994,0.77066,1.09164,0.58629,0.96057,0.000858025,0.000858025,0.000858025
25,135.266,1.01711,0.6116,0.93152,0.9734,0.97357,0.995,0.78139,1.15588,0.56548,0.97313,0.000847026,0.000847026,0.000847026
26,138.661,1.02551,0.59057,0.91895,0.93369,0.99396,0.995,0.75801,1.17788,0.65132,0.97398,0.000836027,0.000836027,0.000836027
27,143.19,1.03686,0.62055,0.93056,0.96032,0.98814,0.995,0.77746,1.13586,0.6633,0.97072,0.000825029,0.000825029,0.000825029
28,147.474,1.04462,0.61079,0.92546,0.97151,0.98492,0.994,0.80214,1.19711,0.62304,0.97506,0.00081403,0.00081403,0.00081403
29,150.982,1.04835,0.58272,0.91955,0.9547,0.99282,0.99286,0.80053,1.08388,0.54731,0.94766,0.000803031,0.000803031,0.000803031
30,154.559,1.0224,0.6177,0.91252,0.97294,0.98014,0.99313,0.78545,1.06733,0.5398,0.94221,0.000792032,0.000792032,0.000792032
31,159.392,0.9546,0.55495,0.92061,0.95892,0.96863,0.99286,0.78291,1.10728,0.58215,0.95639,0.000781033,0.000781033,0.000781033
32,163.508,0.9768,0.55311,0.89398,0.98675,0.96772,0.995,0.78058,1.11599,0.61472,0.97025,0.000770034,0.000770034,0.000770034
33,167.065,0.95172,0.55234,0.8918,0.97852,0.96715,0.995,0.77954,1.13701,0.6187,0.96794,0.000759035,0.000759035,0.000759035
34,170.46,0.99829,0.55845,0.91897,0.97628,0.98099,0.995,0.79764,1.12766,0.58364,0.95364,0.000748036,0.000748036,0.000748036
35,175.477,0.94899,0.54652,0.90151,0.95812,1,0.995,0.80693,1.08227,0.53589,0.9396,0.000737037,0.000737037,0.000737037
36,179.463,0.9117,0.53914,0.91203,0.96875,1,0.995,0.78499,1.06808,0.53942,0.94949,0.000726038,0.000726038,0.000726038
37,182.87,0.93513,0.52878,0.88767,0.97249,0.99657,0.995,0.79712,1.0468,0.5466,0.93807,0.00071504,0.00071504,0.00071504
38,186.319,0.96393,0.52654,0.90629,0.96107,0.98421,0.995,0.80995,1.09952,0.53697,0.95157,0.000704041,0.000704041,0.000704041
39,191.728,0.90549,0.51856,0.89301,0.97457,0.97652,0.995,0.7975,1.10076,0.52925,0.95175,0.000693042,0.000693042,0.000693042
40,195.435,0.95072,0.52954,0.89296,0.96446,0.98607,0.995,0.80484,1.05613,0.50765,0.93094,0.000682043,0.000682043,0.000682043
41,198.991,0.93282,0.51797,0.88459,0.97269,0.992,0.995,0.8078,1.07394,0.54718,0.93207,0.000671044,0.000671044,0.000671044
42,202.32,0.94537,0.52872,0.88391,0.97092,0.99967,0.995,0.7811,1.08516,0.53374,0.93737,0.000660045,0.000660045,0.000660045
43,207.75,0.92445,0.51757,0.88386,0.9521,0.99221,0.99359,0.77073,1.04784,0.55061,0.93374,0.000649046,0.000649046,0.000649046
44,211.332,0.93635,0.51014,0.9083,0.95706,0.97498,0.995,0.79193,1.04081,0.52351,0.9232,0.000638047,0.000638047,0.000638047
45,214.827,0.93379,0.50609,0.90678,0.95001,0.97146,0.995,0.81792,1.08407,0.50167,0.9395,0.000627048,0.000627048,0.000627048
46,218.648,0.94118,0.48832,0.9029,0.97038,0.98693,0.995,0.81071,1.05026,0.46265,0.93338,0.000616049,0.000616049,0.000616049
47,224.028,0.89708,0.4874,0.88904,0.97289,0.98881,0.995,0.81358,0.98511,0.44811,0.91838,0.000605051,0.000605051,0.000605051
48,227.547,0.92925,0.50173,0.89551,0.98017,1,0.995,0.8164,0.98837,0.45052,0.91621,0.000594052,0.000594052,0.000594052
49,230.914,0.86631,0.47199,0.8894,0.98209,1,0.995,0.81842,1.07056,0.46847,0.93179,0.000583053,0.000583053,0.000583053
50,235.058,0.95539,0.52043,0.90166,0.97349,1,0.995,0.83344,0.97719,0.44926,0.91351,0.000572054,0.000572054,0.000572054
51,240.101,0.8836,0.51101,0.89872,0.98642,1,0.995,0.80537,0.9712,0.48139,0.91296,0.000561055,0.000561055,0.000561055
52,243.62,0.93581,0.51989,0.90661,0.96894,1,0.995,0.80786,1.00221,0.47446,0.9209,0.000550056,0.000550056,0.000550056
53,247.079,0.87782,0.50582,0.88816,0.9731,1,0.995,0.82264,1.02437,0.49205,0.92344,0.000539057,0.000539057,0.000539057
54,251.517,0.86077,0.47621,0.88434,0.97726,1,0.995,0.83103,0.96362,0.47129,0.91018,0.000528058,0.000528058,0.000528058
55,256.045,0.91306,0.48441,0.88446,0.97704,1,0.995,0.82411,0.98857,0.44762,0.91267,0.000517059,0.000517059,0.000517059
56,259.539,0.84922,0.47353,0.87012,0.97531,1,0.995,0.82353,1.04386,0.4492,0.92537,0.00050606,0.00050606,0.00050606
57,262.987,0.89939,0.48274,0.87549,0.97142,1,0.995,0.81524,1.07813,0.46671,0.92794,0.000495062,0.000495062,0.000495062
58,267.527,0.87647,0.46671,0.88632,0.96132,1,0.995,0.81045,1.04314,0.45276,0.91531,0.000484063,0.000484063,0.000484063
59,271.983,0.88905,0.45844,0.88249,0.98153,1,0.995,0.80948,1.01726,0.45543,0.91418,0.000473064,0.000473064,0.000473064
60,275.581,0.89305,0.47207,0.88295,0.97743,1,0.995,0.80648,1.05391,0.4592,0.92513,0.000462065,0.000462065,0.000462065
61,279.101,0.82982,0.48232,0.89168,0.97442,1,0.995,0.7885,1.10017,0.4647,0.94487,0.000451066,0.000451066,0.000451066
