epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,84.1846,1.51886,0.26449,1,1.2554,0.000324074,0.000324074,0.000324074
2,131.748,1.31844,0.50362,1,1.11141,0.000650899,0.000650899,0.000650899
3,190.726,1.21485,0.55797,1,0.89146,0.000971124,0.000971124,0.000971124
4,247.465,0.91105,0.86957,1,0.38914,0.0009703,0.0009703,0.0009703
5,301.187,0.6187,0.8913,1,0.34553,0.0009604,0.0009604,0.0009604
6,357.571,0.64819,0.88768,1,0.26583,0.0009505,0.0009505,0.0009505
7,410.642,0.58756,0.93116,1,0.18097,0.0009406,0.0009406,0.0009406
8,465.497,0.5275,0.8913,0.98551,0.3868,0.0009307,0.0009307,0.0009307
9,518.773,0.49668,0.94928,1,0.1275,0.0009208,0.0009208,0.0009208
10,573.276,0.45386,0.9058,1,0.20495,0.0009109,0.0009109,0.0009109
11,626.555,0.42101,0.94928,1,0.12961,0.000901,0.000901,0.000901
12,681.023,0.47863,0.94565,1,0.09968,0.0008911,0.0008911,0.0008911
13,733.81,0.39494,0.94565,1,0.11338,0.0008812,0.0008812,0.0008812
14,787.933,0.39635,0.93841,1,0.09455,0.0008713,0.0008713,0.0008713
15,840.962,0.39021,0.94565,1,0.12011,0.0008614,0.0008614,0.0008614
16,896.94,0.37438,0.94203,1,0.09134,0.0008515,0.0008515,0.0008515
17,949.561,0.45583,0.94928,1,0.09093,0.0008416,0.0008416,0.0008416
18,1006.81,0.38148,0.94203,1,0.10089,0.0008317,0.0008317,0.0008317
19,1059.36,0.3766,0.94565,1,0.10335,0.0008218,0.0008218,0.0008218
20,1114.19,0.36529,0.96377,1,0.09288,0.0008119,0.0008119,0.0008119
21,1167.53,0.42209,0.94565,1,0.11141,0.000802,0.000802,0.000802
22,1222.77,0.3321,0.90942,1,0.1648,0.0007921,0.0007921,0.0007921
23,1274.81,0.37582,0.93478,1,0.10401,0.0007822,0.0007822,0.0007822
24,1330.3,0.38927,0.9529,1,0.09141,0.0007723,0.0007723,0.0007723
25,1383.72,0.33487,0.94928,1,0.08829,0.0007624,0.0007624,0.0007624
26,1438.95,0.29924,0.95652,1,0.08239,0.0007525,0.0007525,0.0007525
27,1492.25,0.35441,0.96014,1,0.08306,0.0007426,0.0007426,0.0007426
28,1547.28,0.30212,0.94928,1,0.0901,0.0007327,0.0007327,0.0007327
29,1601.32,0.27967,0.94565,1,0.08401,0.0007228,0.0007228,0.0007228
30,1657.83,0.34705,0.94565,1,0.0985,0.0007129,0.0007129,0.0007129
31,1710.57,0.3293,0.93478,1,0.12679,0.000703,0.000703,0.000703
32,1767.17,0.30064,0.93841,1,0.12636,0.0006931,0.0006931,0.0006931
33,1821.13,0.33026,0.94928,1,0.08974,0.0006832,0.0006832,0.0006832
34,1877.02,0.31639,0.94565,1,0.08617,0.0006733,0.0006733,0.0006733
35,1930.37,0.34693,0.94565,1,0.09082,0.0006634,0.0006634,0.0006634
36,1986.14,0.31316,0.93478,1,0.12026,0.0006535,0.0006535,0.0006535
37,2038.95,0.32001,0.94928,1,0.07957,0.0006436,0.0006436,0.0006436
38,2094.66,0.31423,0.94928,1,0.08852,0.0006337,0.0006337,0.0006337
39,2147.78,0.29298,0.9529,1,0.07818,0.0006238,0.0006238,0.0006238
40,2204.35,0.26965,0.94928,1,0.08738,0.0006139,0.0006139,0.0006139
41,2259.03,0.27946,0.94565,1,0.08358,0.000604,0.000604,0.000604
42,2315.9,0.27625,0.94928,1,0.07391,0.0005941,0.0005941,0.0005941
43,2370.05,0.29089,0.94565,1,0.09643,0.0005842,0.0005842,0.0005842
44,2426.63,0.2733,0.94928,1,0.0935,0.0005743,0.0005743,0.0005743
45,2479.74,0.25461,0.94928,1,0.08058,0.0005644,0.0005644,0.0005644
46,2536.71,0.25327,0.94928,1,0.07719,0.0005545,0.0005545,0.0005545
47,2593.45,0.27423,0.97101,1,0.07822,0.0005446,0.0005446,0.0005446
48,2647.76,0.29162,0.94928,1,0.07746,0.0005347,0.0005347,0.0005347
49,2703.53,0.27732,0.94928,1,0.07942,0.0005248,0.0005248,0.0005248
50,2757.21,0.28093,0.95652,1,0.0734,0.0005149,0.0005149,0.0005149
51,2814.61,0.29906,0.94928,1,0.07719,0.000505,0.000505,0.000505
52,2867.69,0.25495,0.94928,1,0.07824,0.0004951,0.0004951,0.0004951
53,2921.39,0.26513,0.94928,1,0.07695,0.0004852,0.0004852,0.0004852
54,2975.94,0.28716,0.94928,1,0.07805,0.0004753,0.0004753,0.0004753
55,3028.54,0.28349,0.94565,1,0.08347,0.0004654,0.0004654,0.0004654
56,3083.33,0.30414,0.94565,1,0.08346,0.0004555,0.0004555,0.0004555
57,3136.89,0.25866,0.9529,1,0.07935,0.0004456,0.0004456,0.0004456
58,3191.46,0.2694,0.94928,1,0.07811,0.0004357,0.0004357,0.0004357
59,3244.88,0.26709,0.95652,1,0.07792,0.0004258,0.0004258,0.0004258
60,3300.26,0.22823,0.94928,1,0.07633,0.0004159,0.0004159,0.0004159
61,3353.77,0.28716,0.94565,1,0.07233,0.000406,0.000406,0.000406
62,3410.15,0.25782,0.94565,1,0.0786,0.0003961,0.0003961,0.0003961
63,3463.63,0.26011,0.9529,1,0.07643,0.0003862,0.0003862,0.0003862
64,3519.35,0.25282,0.9529,1,0.07426,0.0003763,0.0003763,0.0003763
65,3573.31,0.32066,0.94928,1,0.07458,0.0003664,0.0003664,0.0003664
66,3628.29,0.22925,0.94928,1,0.07384,0.0003565,0.0003565,0.0003565
67,3682.57,0.28398,0.94928,1,0.07505,0.0003466,0.0003466,0.0003466
68,3738.09,0.24069,0.94928,1,0.08157,0.0003367,0.0003367,0.0003367
69,3790.58,0.23293,0.94928,1,0.08017,0.0003268,0.0003268,0.0003268
70,3845.05,0.2297,0.94928,1,0.07852,0.0003169,0.0003169,0.0003169
71,3898.56,0.27825,0.94928,1,0.07461,0.000307,0.000307,0.000307
72,3952.69,0.24138,0.94928,1,0.078,0.0002971,0.0002971,0.0002971
73,4005.59,0.28313,0.94928,1,0.07295,0.0002872,0.0002872,0.0002872
74,4060.69,0.29265,0.94565,1,0.08856,0.0002773,0.0002773,0.0002773
75,4114.5,0.31322,0.92754,1,0.08214,0.0002674,0.0002674,0.0002674
76,4169.59,0.27854,0.94565,1,0.07959,0.0002575,0.0002575,0.0002575
77,4223.73,0.21693,0.94928,1,0.07289,0.0002476,0.0002476,0.0002476
78,4278.17,0.26517,0.94928,1,0.07674,0.0002377,0.0002377,0.0002377
79,4333.97,0.25065,0.94928,1,0.07437,0.0002278,0.0002278,0.0002278
80,4387.4,0.25327,0.9529,1,0.07692,0.0002179,0.0002179,0.0002179
81,4445.34,0.2237,0.94928,1,0.07513,0.000208,0.000208,0.000208
82,4500.71,0.24748,0.94928,1,0.07798,0.0001981,0.0001981,0.0001981
83,4553.7,0.27322,0.94928,1,0.07699,0.0001882,0.0001882,0.0001882
84,4608.41,0.25715,0.94928,1,0.08058,0.0001783,0.0001783,0.0001783
85,4660.53,0.24112,0.94928,1,0.07641,0.0001684,0.0001684,0.0001684
86,4715.47,0.21969,0.94928,1,0.07553,0.0001585,0.0001585,0.0001585
87,4769.1,0.2409,0.94928,1,0.07469,0.0001486,0.0001486,0.0001486
88,4823.92,0.24332,0.94928,1,0.07499,0.0001387,0.0001387,0.0001387
89,4878.87,0.26118,0.95652,1,0.07729,0.0001288,0.0001288,0.0001288
90,4931.28,0.23023,0.94928,1,0.07967,0.0001189,0.0001189,0.0001189
91,4989.33,0.24494,0.94203,1,0.07827,0.000109,0.000109,0.000109
92,5044.16,0.23334,0.94928,1,0.08036,9.91e-05,9.91e-05,9.91e-05
93,5099.2,0.23816,0.94928,1,0.08552,8.92e-05,8.92e-05,8.92e-05
94,5153.74,0.22758,0.94928,1,0.08083,7.93e-05,7.93e-05,7.93e-05
95,5206.19,0.25918,0.94203,1,0.08156,6.94e-05,6.94e-05,6.94e-05
96,5260.99,0.26426,0.94928,1,0.07948,5.95e-05,5.95e-05,5.95e-05
97,5312.83,0.28111,0.94928,1,0.07907,4.96e-05,4.96e-05,4.96e-05
98,5367.79,0.27913,0.94928,1,0.08225,3.97e-05,3.97e-05,3.97e-05
99,5420,0.22765,0.94928,1,0.07892,2.98e-05,2.98e-05,2.98e-05
100,5473.86,0.24185,0.94928,1,0.0763,1.99e-05,1.99e-05,1.99e-05
