epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,76.2629,1.51886,0.34375,1,1.37204,0.000324074,0.000324074,0.000324074
2,123.82,1.31844,0.46875,1,1.21513,0.000650899,0.000650899,0.000650899
3,174.267,1.21485,0.48958,1,1.02038,0.000971124,0.000971124,0.000971124
4,222.401,0.91105,0.82292,1,0.46296,0.0009703,0.0009703,0.0009703
5,271.346,0.6187,0.85938,1,0.34549,0.0009604,0.0009604,0.0009604
6,321.369,0.64819,0.85417,1,0.32671,0.0009505,0.0009505,0.0009505
7,370.387,0.58756,0.91146,1,0.22216,0.0009406,0.0009406,0.0009406
8,417.947,0.5275,0.90625,1,0.30638,0.0009307,0.0009307,0.0009307
9,465.735,0.49668,0.92708,1,0.15319,0.0009208,0.0009208,0.0009208
10,514.594,0.45386,0.86458,1,0.25634,0.0009109,0.0009109,0.0009109
11,562.798,0.42101,0.92708,1,0.1579,0.000901,0.000901,0.000901
12,610.367,0.47863,0.92708,1,0.13546,0.0008911,0.0008911,0.0008911
13,660.687,0.39494,0.92708,1,0.14208,0.0008812,0.0008812,0.0008812
14,709.041,0.39635,0.91146,1,0.11852,0.0008713,0.0008713,0.0008713
15,757.244,0.39021,0.92188,1,0.15388,0.0008614,0.0008614,0.0008614
16,805.964,0.37438,0.92188,1,0.12086,0.0008515,0.0008515,0.0008515
17,853.921,0.45583,0.92708,1,0.12116,0.0008416,0.0008416,0.0008416
18,903.845,0.38148,0.92708,1,0.12259,0.0008317,0.0008317,0.0008317
19,953.854,0.3766,0.92708,1,0.11855,0.0008218,0.0008218,0.0008218
20,1002.33,0.36529,0.94792,1,0.11665,0.0008119,0.0008119,0.0008119
21,1050.72,0.42209,0.92708,1,0.13221,0.000802,0.000802,0.000802
22,1098.6,0.3321,0.92708,1,0.11052,0.0007921,0.0007921,0.0007921
23,1147.41,0.37582,0.92708,1,0.1109,0.0007822,0.0007822,0.0007822
24,1196.72,0.38927,0.9375,1,0.10684,0.0007723,0.0007723,0.0007723
25,1244.01,0.33487,0.92708,1,0.11249,0.0007624,0.0007624,0.0007624
26,1291.84,0.29924,0.9375,1,0.10168,0.0007525,0.0007525,0.0007525
27,1339.37,0.35441,0.94271,1,0.11551,0.0007426,0.0007426,0.0007426
28,1387.35,0.30212,0.92708,1,0.1143,0.0007327,0.0007327,0.0007327
29,1435.22,0.27967,0.92708,1,0.10935,0.0007228,0.0007228,0.0007228
30,1484.2,0.34705,0.92708,1,0.12402,0.0007129,0.0007129,0.0007129
31,1533.19,0.3293,0.91146,1,0.15306,0.000703,0.000703,0.000703
32,1581.14,0.30064,0.92708,1,0.13778,0.0006931,0.0006931,0.0006931
33,1629.25,0.33026,0.93229,1,0.10635,0.0006832,0.0006832,0.0006832
34,1676.64,0.31639,0.92708,1,0.11001,0.0006733,0.0006733,0.0006733
35,1724.84,0.34693,0.92708,1,0.11946,0.0006634,0.0006634,0.0006634
36,1774.77,0.31316,0.92708,1,0.11632,0.0006535,0.0006535,0.0006535
37,1823.09,0.32001,0.92708,1,0.10926,0.0006436,0.0006436,0.0006436
38,1870.64,0.31423,0.92708,1,0.12646,0.0006337,0.0006337,0.0006337
39,1918.23,0.29298,0.93229,1,0.10912,0.0006238,0.0006238,0.0006238
40,1965.39,0.26965,0.92708,1,0.11845,0.0006139,0.0006139,0.0006139
41,2012.45,0.27946,0.92708,1,0.11831,0.000604,0.000604,0.000604
42,2060.7,0.27625,0.92708,1,0.10653,0.0005941,0.0005941,0.0005941
43,2109.47,0.29089,0.92708,1,0.13357,0.0005842,0.0005842,0.0005842
44,2157.29,0.2733,0.92708,1,0.13264,0.0005743,0.0005743,0.0005743
45,2204.75,0.25461,0.92708,1,0.11682,0.0005644,0.0005644,0.0005644
46,2252.49,0.25327,0.92708,1,0.10791,0.0005545,0.0005545,0.0005545
47,2300.4,0.27423,0.95833,1,0.10474,0.0005446,0.0005446,0.0005446
48,2348.82,0.29162,0.92708,1,0.11045,0.0005347,0.0005347,0.0005347
49,2397.9,0.27732,0.92708,1,0.10943,0.0005248,0.0005248,0.0005248
50,2446.97,0.28093,0.9375,1,0.10432,0.0005149,0.0005149,0.0005149
51,2495.05,0.29906,0.92708,1,0.10396,0.000505,0.000505,0.000505
52,2543.16,0.25495,0.92708,1,0.11415,0.0004951,0.0004951,0.0004951
53,2590.93,0.26513,0.92708,1,0.10718,0.0004852,0.0004852,0.0004852
54,2638.5,0.28716,0.92708,1,0.10357,0.0004753,0.0004753,0.0004753
55,2687.62,0.28349,0.92188,1,0.11655,0.0004654,0.0004654,0.0004654
56,2736.15,0.30414,0.92708,1,0.11405,0.0004555,0.0004555,0.0004555
57,2783.48,0.25866,0.9375,1,0.10436,0.0004456,0.0004456,0.0004456
58,2831.14,0.2694,0.92708,1,0.10051,0.0004357,0.0004357,0.0004357
59,2878.56,0.26709,0.9375,1,0.10335,0.0004258,0.0004258,0.0004258
60,2925.8,0.22823,0.92708,1,0.10079,0.0004159,0.0004159,0.0004159
61,2972.94,0.28716,0.92708,1,0.09799,0.000406,0.000406,0.000406
62,3020.76,0.25782,0.92708,1,0.09936,0.0003961,0.0003961,0.0003961
63,3068.21,0.26011,0.93229,1,0.10317,0.0003862,0.0003862,0.0003862
64,3115.21,0.25282,0.93229,1,0.10317,0.0003763,0.0003763,0.0003763
65,3163.32,0.32066,0.92708,1,0.10523,0.0003664,0.0003664,0.0003664
66,3210.83,0.22925,0.92708,1,0.10537,0.0003565,0.0003565,0.0003565
67,3257.65,0.28398,0.92708,1,0.10678,0.0003466,0.0003466,0.0003466
68,3305.7,0.24069,0.92708,1,0.10782,0.0003367,0.0003367,0.0003367
69,3353.24,0.23293,0.92708,1,0.1061,0.0003268,0.0003268,0.0003268
70,3400.47,0.2297,0.92708,1,0.10342,0.0003169,0.0003169,0.0003169
71,3447.2,0.27825,0.92708,1,0.10444,0.000307,0.000307,0.000307
